PRODUCT,NETT PRICE,COLOUR,PERFORMANCE,SIZE,PACKED,PRODUCT CODE,BARCODE
,3.23,,,,,,
Professional Adhesive Range,,,,,,,
Flexible Standard Set+ Purple Bag C2TE S1,9.18,grey,C2TE S1,20kg,64,M452G20,5036879460282.0
"(interior, exterior, flexible, wall & floor, grout after 18hr,  ",10.96,white,C2TE S1,20kg,64,M452W20,5036879460237.0
"suitable for large format tiles, swimming pools, UFH)",,,,,,,
Fiberflex Semi-Rapid Set+ Pink Bag C2TE S1,11.15,grey,C2TE S1,20kg,64,M454G20,5036879460060.0
"(interior, exterior, flexible, wall & floor, grout after 6hr,  ",12.74,white,C2TE S1,20kg,64,M454W20,5036879460077.0
"gel technology designed for extra large format tiles, UFH)",,,,,,,
Ultimate Flexible Rapid Set - Tan Bag C2F S2,16.25,grey,C2F S2,20kg,64,M453G20,5036879460152.0
"(highly flexible, suitable for tongue & groove floorboards",18.44,white,C2F S2,20kg,64,M453W20,5036879460053.0
"and green screeds, UFH)",,,,,,,
Flexible Rapid Set+ Red Bag C2F S1,8.14,grey,C2F S1,10kg,1,M383G10,5036879460138.0
"(interior, exterior, flexible, grout after 3hr, UFH, suitable",11.02,grey,C2F S1,20kg,64,M451G20,5036879460145.0
for large format tiles),13.42,white,C2F S1,20kg,64,M451W20,5036879460176.0
Rapid Set Flex - Green Bag C2FT,9.95,grey,C2FT,20kg,64,M450G20,5036879460121.0
"(interior, exterior, grout after 3hr, UFH)",12.05,white,C2FT,20kg,64,M450W20,5036879460220.0
Standard Set Flex - Blue Bag C2TE,10.1,white,C2TE,20kg,64,M473W20,5036879460398.0
Colourfast 360 Grout & Silicone,,,,,,,
Colourfast Grout 13888CG2WA,5.18,Anthracite,13888CG2WA,3kg,8,M360A03,5036879940159.0
"(wall & floor, flexible, fast setting grout,",11.94,,,10kg,1,M360A10,5036879940166.0
"water repellent, stain resistant, anti mould)",5.18,Black,13888CG2WA,3kg,8,M360B03,5036879940173.0
,11.94,,,10kg,1,M360BL10,5036879940180.0
,5.18,Beige,13888CG2WA,3kg,8,M360BE03,5036879940074.0
,11.94,,,10kg,1,M360BE10,5036879940081.0
,5.18,Brown,13888CG2WA,3kg,8,M360BR03,5036879940135.0
,11.94,,,10kg,1,M360BR10,5036879940142.0
,5.18,Grey,13888CG2WA,3kg,8,M360G03,5036879940111.0
,11.94,,,10kg,1,M360G10,5036879940128.0
,5.18,Ivory,13888CG2WA,3kg,8,M360I03,5036879940036.0
,11.94,,,10kg,1,M360I10,5036789940043.0
